time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.3506e-06	353.915
1	2.3506e-06	5.40136e-06	353.915
2	5.40136e-06	9.36083e-06	77.6408
3	9.36083e-06	1.44997e-05	102.736
4	1.44997e-05	2.11693e-05	234.352
5	2.11693e-05	2.98255e-05	409.787
6	2.98255e-05	4.106e-05	573.864
7	4.106e-05	5.5641e-05	632.917
8	5.5641e-05	7.45652e-05	537.489
9	7.45652e-05	9.91262e-05	375.096
10	9.91262e-05	0.000131003	249.963
11	0.000131003	0.000172375	181.459
12	0.000172375	0.00022607	151.209
13	0.00022607	0.000295759	157.283
14	0.000295759	0.000386206	197.203
15	0.000386206	0.000503595	252.493
16	0.000503595	0.000655949	297.489
17	0.000655949	0.000853684	314.226
18	0.000853684	0.00111032	314.156
19	0.00111032	0.00144339	324.926
20	0.00144339	0.00187568	367.686
21	0.00187568	0.00243674	459.202
22	0.00243674	0.00316491	617.415
23	0.00316491	0.00410997	823.246
24	0.00410997	0.00533654	978.812
25	0.00533654	0.00692847	1023.75
26	0.00692847	0.00899457	909.739
27	0.00899457	0.0116761	364.228
28	0.0116761	0.0151564	364.228
29	0.0151564	0.0196733	162.864
30	0.0196733	0.0255356	162.864
31	0.0255356	inf	162.864
