time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.12376e-06	2506.83
1	2.12376e-06	4.88011e-06	2506.83
2	4.88011e-06	8.45748e-06	7463.27
3	8.45748e-06	1.31004e-05	5278.94
4	1.31004e-05	1.91264e-05	3292.24
5	1.91264e-05	2.69472e-05	1969.32
6	2.69472e-05	3.70976e-05	1175.84
7	3.70976e-05	5.02715e-05	707.872
8	5.02715e-05	6.73694e-05	441.425
9	6.73694e-05	8.95601e-05	293.977
10	8.95601e-05	0.000118361	218.009
11	0.000118361	0.00015574	186.342
12	0.00015574	0.000204254	173.586
13	0.000204254	0.000267218	171.585
14	0.000267218	0.000348936	181.388
15	0.000348936	0.000454996	196.372
16	0.000454996	0.000592648	213.85
17	0.000592648	0.000771301	237.742
18	0.000771301	0.00100317	274.696
19	0.00100317	0.0013041	331.21
20	0.0013041	0.00169467	413.013
21	0.00169467	0.00220158	524.324
22	0.00220158	0.00285948	659.505
23	0.00285948	0.00371335	782.318
24	0.00371335	0.00482155	846.704
25	0.00482155	0.00625985	840.564
26	0.00625985	0.00812657	770.292
27	0.00812657	0.0105493	541.817
28	0.0105493	0.0136937	541.817
29	0.0136937	0.0177747	33.9324
30	0.0177747	0.0230713	33.9324
31	0.0230713	inf	33.9324
