time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.25126e-06	381.269
1	2.25126e-06	5.17309e-06	381.269
2	5.17309e-06	8.96524e-06	1220.86
3	8.96524e-06	1.38869e-05	1088.37
4	1.38869e-05	2.02746e-05	922.884
5	2.02746e-05	2.8565e-05	677.115
6	2.8565e-05	3.93248e-05	503.075
7	3.93248e-05	5.32896e-05	391.237
8	5.32896e-05	7.1414e-05	286.681
9	7.1414e-05	9.4937e-05	209.804
10	9.4937e-05	0.000125467	169.807
11	0.000125467	0.00016509	152.203
12	0.00016509	0.000216516	151.281
13	0.000216516	0.00028326	166.36
14	0.00028326	0.000369885	197.641
15	0.000369885	0.000482312	227.754
16	0.000482312	0.000628228	244.034
17	0.000628228	0.000817607	255.525
18	0.000817607	0.0010634	279.319
19	0.0010634	0.0013824	329.209
20	0.0013824	0.00179642	417.278
21	0.00179642	0.00233376	556.365
22	0.00233376	0.00303115	743.777
23	0.00303115	0.00393628	910.233
24	0.00393628	0.00511102	985.732
25	0.00511102	0.00663567	953.678
26	0.00663567	0.00861446	774.382
27	0.00861446	0.0111827	296.593
28	0.0111827	0.0145158	296.593
29	0.0145158	0.0188419	125.05
30	0.0188419	0.0244565	125.05
31	0.0244565	inf	125.05
