time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.54189e-05	893.77
1	3.54189e-05	7.68502e-05	893.77
2	7.68502e-05	0.000125314	81.8284
3	0.000125314	0.000182005	121.606
4	0.000182005	0.00024832	165.27
5	0.00024832	0.000325891	217.329
6	0.000325891	0.00041663	267.158
7	0.00041663	0.000522772	304.172
8	0.000522772	0.000646931	321.706
9	0.000646931	0.000792166	321.366
10	0.000792166	0.000962056	313.993
11	0.000962056	0.00116078	310.779
12	0.00116078	0.00139325	318.624
13	0.00139325	0.00166517	340.978
14	0.00166517	0.00198325	379.645
15	0.00198325	0.00235532	435.51
16	0.00235532	0.00279056	507.445
17	0.00279056	0.00329967	589.097
18	0.00329967	0.00389521	665.98
19	0.00389521	0.00459184	718.946
20	0.00459184	0.00540673	732.931
21	0.00540673	0.00635994	700.707
22	0.00635994	0.00747496	621.729
23	0.00747496	0.00877925	503.167
24	0.00877925	0.0103049	365.187
25	0.0103049	0.0120896	239.562
26	0.0120896	0.0141773	149.36
27	0.0141773	0.0166193	86.563
28	0.0166193	0.0194758	86.563
29	0.0194758	0.0228172	28.3781
30	0.0228172	0.0267259	28.3781
31	0.0267259	inf	28.3781
