time_index	left_time_boundary	right_time_boundary	lambda
0.000000	0.000000	0.000006	1343.973778
1.000000	0.000006	0.000013	1343.973778
2.000000	0.000013	0.000021	2232.684059
3.000000	0.000021	0.000032	1376.915390
4.000000	0.000032	0.000044	905.312580
5.000000	0.000044	0.000060	616.421530
6.000000	0.000060	0.000080	463.038370
7.000000	0.000080	0.000103	377.549700
8.000000	0.000103	0.000133	311.982900
9.000000	0.000133	0.000170	249.509200
10.000000	0.000170	0.000216	199.542800
11.000000	0.000216	0.000273	169.610500
12.000000	0.000273	0.000345	161.545900
13.000000	0.000345	0.000435	175.384700
14.000000	0.000435	0.000548	211.377700
15.000000	0.000548	0.000690	257.206600
16.000000	0.000690	0.000869	295.149500
17.000000	0.000869	0.001096	318.496800
18.000000	0.001096	0.001384	338.676900
19.000000	0.001384	0.001748	372.738200
20.000000	0.001748	0.002212	434.029400
21.000000	0.002212	0.002802	534.641000
22.000000	0.002802	0.003554	679.899500
23.000000	0.003554	0.004514	831.893000
24.000000	0.004514	0.005741	919.427100
25.000000	0.005741	0.007311	910.692300
26.000000	0.007311	0.009322	769.838500
27.000000	0.009322	0.011900	322.691800
28.000000	0.011900	0.015209	322.691800
29.000000	0.015209	0.019458	72.901050
30.000000	0.019458	0.024921	72.901050
31.000000	0.024921	inf	72.901050
