time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.45992e-06	11.6749
1	2.45992e-06	5.65257e-06	11.6749
2	5.65257e-06	9.7962e-06	2.24479
3	9.7962e-06	1.51741e-05	11.6142
4	1.51741e-05	2.21538e-05	13.9373
5	2.21538e-05	3.12126e-05	32.1423
6	3.12126e-05	4.29697e-05	91.3437
7	4.29697e-05	5.82289e-05	157.052
8	5.82289e-05	7.80332e-05	200.733
9	7.80332e-05	0.000103737	195.571
10	0.000103737	0.000137096	159.432
11	0.000137096	0.000180392	130.407
12	0.000180392	0.000236585	123.548
13	0.000236585	0.000309515	144.705
14	0.000309515	0.000404169	193.714
15	0.000404169	0.000527017	255.283
16	0.000527017	0.000686457	301.046
17	0.000686457	0.000893389	315.787
18	0.000893389	0.00116196	316.838
19	0.00116196	0.00151053	330.808
20	0.00151053	0.00196292	376.419
21	0.00196292	0.00255007	469.675
22	0.00255007	0.00331211	623.745
23	0.00331211	0.00430113	807.825
24	0.00430113	0.00558475	939.358
25	0.00558475	0.00725071	975.189
26	0.00725071	0.00941291	873.632
27	0.00941291	0.0122192	373.567
28	0.0122192	0.0158613	373.567
29	0.0158613	0.0205883	70.075
30	0.0205883	0.0267233	70.075
31	0.0267233	inf	70.075
