time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.07258e-06	5851
1	2.07258e-06	4.76252e-06	5851
2	4.76252e-06	8.2537e-06	9702.9
3	8.2537e-06	1.27848e-05	4142.07
4	1.27848e-05	1.86655e-05	2108.27
5	1.86655e-05	2.62979e-05	1140.31
6	2.62979e-05	3.62037e-05	675.166
7	3.62037e-05	4.90602e-05	448.214
8	4.90602e-05	6.57461e-05	351.423
9	6.57461e-05	8.74022e-05	281.172
10	8.74022e-05	0.000115509	211.191
11	0.000115509	0.000151988	157.805
12	0.000151988	0.000199332	136.031
13	0.000199332	0.000260779	137.189
14	0.000260779	0.000340529	165.336
15	0.000340529	0.000444033	212.69
16	0.000444033	0.000578368	254.821
17	0.000578368	0.000752716	277.635
18	0.000752716	0.000978997	291.121
19	0.000978997	0.00127268	319.816
20	0.00127268	0.00165384	383.99
21	0.00165384	0.00214853	501.699
22	0.00214853	0.00279058	687.528
23	0.00279058	0.00362387	904.509
24	0.00362387	0.00470537	1053.41
25	0.00470537	0.00610902	1091.83
26	0.00610902	0.00793076	967.877
27	0.00793076	0.0102951	375.991
28	0.0102951	0.0133638	375.991
29	0.0133638	0.0173464	25.9409
30	0.0173464	0.0225154	25.9409
31	0.0225154	inf	25.9409
