time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.63819e-06	1830.06
1	3.63819e-06	8.2689e-06	1830.06
2	8.2689e-06	1.41629e-05	802.097
3	1.41629e-05	2.16648e-05	1115.57
4	2.16648e-05	3.12132e-05	1038.51
5	3.12132e-05	4.33665e-05	749.887
6	4.33665e-05	5.88353e-05	507.914
7	5.88353e-05	7.85241e-05	326.135
8	7.85241e-05	0.000103584	213.839
9	0.000103584	0.00013548	162.593
10	0.00013548	0.000176078	148.36
11	0.000176078	0.000227751	158.44
12	0.000227751	0.000293521	178.552
13	0.000293521	0.000377233	210.92
14	0.000377233	0.000483783	245.357
15	0.000483783	0.000619399	268.659
16	0.000619399	0.000792012	280.478
17	0.000792012	0.00101171	295.306
18	0.00101171	0.00129135	329.756
19	0.00129135	0.00164728	397.124
20	0.00164728	0.0021003	509.704
21	0.0021003	0.00267691	674.398
22	0.00267691	0.00341082	860.378
23	0.00341082	0.00434495	987.608
24	0.00434495	0.00553391	1011.42
25	0.00553391	0.00704723	910.481
26	0.00704723	0.00897338	655.302
27	0.00897338	0.011425	199.48
28	0.011425	0.0145454	199.48
29	0.0145454	0.0185171	74.5744
30	0.0185171	0.0235723	74.5744
31	0.0235723	inf	74.5744
