Block_Penalty	Window_Size	Pearson_Corr_1bp	Pearson_Corr_10kb	Pearson_Corr_100kb	Log_Pearson_Corr_1bp	Log_Pearson_Corr_10kb	Log_Pearson_Corr_100kb	Spearman_Corr_1bp	Spearman_Corr_10kb	Spearman_Corr_100kb	L2	Log_L2
10.0	25.0	0.9395753873576507	0.5293927115092273	0.8938815965802769	0.9781445419277784	0.5595366462634164	0.965990025932082	0.9892960632822301	0.5473214619785344	0.9890192204798947	5.1883361975890604e-05	20020.597814352044
10.0	30.0	0.9402842246417038	0.5245525830763355	0.8928326280421147	0.9796276517174436	0.5519868577174177	0.9667305627606845	0.9898155251290371	0.5495793225102529	0.9901551631888709	5.097793239691805e-05	20944.620878316076
10.0	50.0	0.9331357367788538	0.5857113841641449	0.8906703799981692	0.9786787566304439	0.6041642125685229	0.9686380023299511	0.9906167268991911	0.5810347136286782	0.9890521463555171	5.421531434320278e-05	13330.868290322984
10.0	100.0	0.8713844678536676	0.6224662688059225	0.8884897793091563	0.9609486121823722	0.6246381735614173	0.9684043672919531	0.9808774019229689	0.5987670346662776	0.9875540190146931	9.066287232807655e-05	12163.712213486015
20.0	25.0	0.934420865226264	0.5147053670774147	0.9043500418902565	0.9756775933160812	0.5554465542681196	0.9644734727584214	0.9889618282022764	0.5455170414903663	0.9899576079351359	6.120863259446714e-05	19980.749473665714
20.0	30.0	0.9381200610480533	0.508728653499266	0.9050960781181834	0.977161736199707	0.5468215478236433	0.9663296316924826	0.9895872373968703	0.5459081100208335	0.9891838498580071	5.7170744325707396e-05	20884.272342126093
20.0	50.0	0.9401826573660086	0.5682596898740828	0.9041838199076242	0.9791114788121317	0.5985846327793496	0.9695313868760981	0.9909437549754555	0.5801422456340376	0.9894966456764208	5.180667079633826e-05	13197.458810640823
20.0	100.0	0.9018097059018735	0.6144019764158537	0.9011231195889007	0.9658943282096151	0.622184527016667	0.9694111332900246	0.9712326653518754	0.5973604676294761	0.9902868666913611	6.909528763732149e-05	12022.328536555346
30.0	25.0	0.9176757460111273	0.501691049669419	0.9060751049022807	0.9697384329086831	0.5464876143193481	0.9611791184906594	0.9871597772203304	0.5463882639316596	0.9887393505371033	7.325154398734854e-05	19954.690303221934
30.0	30.0	0.9264430299967743	0.5003720422016492	0.9082149898950141	0.9737749173745855	0.5444408170894243	0.964294984242934	0.9886819464439363	0.5452411892500983	0.9896942009301559	6.719591687504946e-05	20875.458761676324
30.0	50.0	0.9327219960658606	0.5561825701277612	0.9108597734484423	0.9768130292896298	0.5950870752753985	0.9696850171968845	0.9902504981234889	0.5786710140727475	0.9890686092933283	5.8045428372961165e-05	13135.533598568805
30.0	100.0	0.9282828952360841	0.6113317375148837	0.9072486013737016	0.9775147870238982	0.6208674601621674	0.9702408727111488	0.9921096471231745	0.5952357858353962	0.9915874387784499	5.544607050654706e-05	11958.885915982706
50.0	25.0	0.8675873252078034	0.4811265685599453	0.8981938797472945	0.9473100800310751	0.5298990580339441	0.9508671407633602	0.9805939189945532	0.5337693345226787	0.9790426801662755	9.361279402707673e-05	19966.518096432126
50.0	30.0	0.8929331456400791	0.48239954986836814	0.9052414372137457	0.9612793304105202	0.5308759214600159	0.9577683345723196	0.9839232902656317	0.5400331610267847	0.9830267111165987	8.464556793091856e-05	20865.67187119286
50.0	50.0	0.9145336256816587	0.5372375963914632	0.915969195026115	0.9706367951994789	0.5845426257040193	0.9684388352275374	0.9879399759355177	0.5727610315780189	0.9875540190146931	7.032820621751773e-05	13079.502578469064
50.0	100.0	0.9216016161931643	0.5962325429420626	0.9126397828846844	0.9731656446317144	0.6157050160190163	0.9709075884234506	0.9892037980220244	0.5929282211578936	0.9906819771988311	6.078436748415361e-05	11865.625493771855
100.0	25.0	0.6930443439960073	0.44324540922703065	0.8598851845726584	0.8479397048693846	0.49218640672245895	0.9163223704063957	0.9359385396977654	0.5015103300424016	0.9427254393546527	0.0001257834158964751	20040.058899990116
100.0	30.0	0.746069204529222	0.4462893998308676	0.8774011800731443	0.8902975197219308	0.4961134767350828	0.9319522626077766	0.9526639085790864	0.5120909932184233	0.9531135531135531	0.00011737082822677337	20912.68710561666
100.0	50.0	0.8624963952287032	0.5032047558071743	0.9104353952453541	0.9499573971683201	0.5603490631959682	0.9601193090715712	0.9791732455288645	0.5622898871241012	0.9796847347409144	9.26496981166171e-05	13078.788356780557
100.0	100.0	0.8916996712720447	0.572457206598073	0.9161724795514913	0.9611656729042689	0.6042386193293204	0.9707786350196292	0.9823594086616366	0.5877561529955585	0.9863192986788492	7.71444140839049e-05	11793.523854002595
