time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.41886e-06	1.20188
1	2.41886e-06	5.55821e-06	1.20188
2	5.55821e-06	9.63267e-06	13.3804
3	9.63267e-06	1.49208e-05	27.3892
4	1.49208e-05	2.1784e-05	43.7984
5	2.1784e-05	3.06916e-05	102.296
6	3.06916e-05	4.22524e-05	153.128
7	4.22524e-05	5.72568e-05	207.483
8	5.72568e-05	7.67305e-05	221.554
9	7.67305e-05	0.000102005	200.515
10	0.000102005	0.000134807	159.75
11	0.000134807	0.000177381	124.313
12	0.000177381	0.000232635	115.662
13	0.000232635	0.000304348	134.998
14	0.000304348	0.000397422	178.935
15	0.000397422	0.000518219	234.598
16	0.000518219	0.000674998	273.715
17	0.000674998	0.000878475	281.957
18	0.000878475	0.00114256	282.611
19	0.00114256	0.00148531	304.303
20	0.00148531	0.00193015	366.548
21	0.00193015	0.0025075	490.344
22	0.0025075	0.00325681	698.106
23	0.00325681	0.00422933	938.781
24	0.00422933	0.00549152	1089.01
25	0.00549152	0.00712967	1082.75
26	0.00712967	0.00925577	827.623
27	0.00925577	0.0120152	280.653
28	0.0120152	0.0155965	280.653
29	0.0155965	0.0202446	16.598
30	0.0202446	0.0262772	16.598
31	0.0262772	inf	16.598
