time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.30932e-06	65.067
1	2.30932e-06	5.30651e-06	65.067
2	5.30651e-06	9.19646e-06	18.4192
3	9.19646e-06	1.42451e-05	28.5785
4	1.42451e-05	2.07975e-05	74.3541
5	2.07975e-05	2.93017e-05	116.987
6	2.93017e-05	4.0339e-05	165.876
7	4.0339e-05	5.4664e-05	220.02
8	5.4664e-05	7.32558e-05	242.704
9	7.32558e-05	9.73855e-05	217.67
10	9.73855e-05	0.000128703	182.013
11	0.000128703	0.000169348	151.606
12	0.000169348	0.0002221	140.894
13	0.0002221	0.000290566	152.558
14	0.000290566	0.000379425	193.646
15	0.000379425	0.000494752	247.279
16	0.000494752	0.000644431	288.239
17	0.000644431	0.000838694	308.182
18	0.000838694	0.00109082	320.864
19	0.00109082	0.00141805	347.925
20	0.00141805	0.00184275	407.278
21	0.00184275	0.00239395	514.742
22	0.00239395	0.00310933	680.414
23	0.00310933	0.0040378	865.501
24	0.0040378	0.00524284	988.067
25	0.00524284	0.00680681	1005.83
26	0.00680681	0.00883663	874.85
27	0.00883663	0.0114711	322.351
28	0.0114711	0.0148902	322.351
29	0.0148902	0.0193278	38.1857
30	0.0193278	0.0250872	38.1857
31	0.0250872	inf	38.1857
