time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.32427e-06	1544.95
1	2.32427e-06	5.34085e-06	1544.95
2	5.34085e-06	9.25598e-06	2944.2
3	9.25598e-06	1.43373e-05	1852.28
4	1.43373e-05	2.09321e-05	1159.51
5	2.09321e-05	2.94914e-05	749.042
6	2.94914e-05	4.06001e-05	517.019
7	4.06001e-05	5.50177e-05	380.395
8	5.50177e-05	7.37299e-05	302.275
9	7.37299e-05	9.80158e-05	237.328
10	9.80158e-05	0.000129536	182.91
11	0.000129536	0.000170444	142.751
12	0.000170444	0.000223538	126.072
13	0.000223538	0.000292446	137.271
14	0.000292446	0.00038188	180.912
15	0.00038188	0.000497954	241.428
16	0.000497954	0.000648601	290.378
17	0.000648601	0.000844122	309.511
18	0.000844122	0.00109788	311.428
19	0.00109788	0.00142723	323.115
20	0.00142723	0.00185467	365.447
21	0.00185467	0.00240944	454.954
22	0.00240944	0.00312945	606.398
23	0.00312945	0.00406394	795.742
24	0.00406394	0.00527677	936.571
25	0.00527677	0.00685086	983.289
26	0.00685086	0.00889382	895.328
27	0.00889382	0.0115453	385.675
28	0.0115453	0.0149866	385.675
29	0.0149866	0.0194529	153.412
30	0.0194529	0.0252496	153.412
31	0.0252496	inf	153.412
