Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_009819655.1	Primary Assembly	1	60055828	39.5	CM020465.1	Chromosome		NC_089140.1	assembled-molecule	153194430			Super_Scaffold_2
GCF_009819655.1	Primary Assembly	2	45597337	39.5	CM020466.1	Chromosome		NC_089141.1	assembled-molecule	115287908			Super_Scaffold_1
GCF_009819655.1	Primary Assembly	3	45204382	40	CM020467.1	Chromosome		NC_089142.1	assembled-molecule	113359798			Super_Scaffold_8
GCF_009819655.1	Primary Assembly	4	28802682	40	CM020468.1	Chromosome		NC_089143.1	assembled-molecule	72978054			Super_Scaffold_4
GCF_009819655.1	Primary Assembly	5	29302740	40.5	CM020469.1	Chromosome		NC_089144.1	assembled-molecule	72605035			Super_Scaffold_6
GCF_009819655.1	Primary Assembly	6	26054339	41.5	CM020470.1	Chromosome		NC_089145.1	assembled-molecule	63423007			Super_Scaffold_5
GCF_009819655.1	Primary Assembly	7	16131632	42	CM020471.1	Chromosome		NC_089146.1	assembled-molecule	38862568			Super_Scaffold_7
GCF_009819655.1	Primary Assembly	8	15250035	42.5	CM020472.1	Chromosome		NC_089147.1	assembled-molecule	35969369			Super_Scaffold_9
GCF_009819655.1	Primary Assembly	9	13530224	42.5	CM020473.1	Chromosome		NC_089148.1	assembled-molecule	31650914			scaffold_8_arrow_ctg1
GCF_009819655.1	Primary Assembly	10	11217426	43.5	CM020474.1	Chromosome		NC_089149.1	assembled-molecule	26389481			scaffold_10_arrow_ctg1
GCF_009819655.1	Primary Assembly	11	9543077	44.5	CM020475.1	Chromosome		NC_089150.1	assembled-molecule	22342531			Super_Scaffold_13
GCF_009819655.1	Primary Assembly	12	9413327	43.5	CM020476.1	Chromosome		NC_089151.1	assembled-molecule	22249080			scaffold_12_arrow_ctg1
GCF_009819655.1	Primary Assembly	13	9060508	44	CM020477.1	Chromosome		NC_089152.1	assembled-molecule	20608123			Super_Scaffold_14
GCF_009819655.1	Primary Assembly	14	8767378	46	CM020478.1	Chromosome		NC_089153.1	assembled-molecule	19084229			scaffold_15_arrow_ctg1
GCF_009819655.1	Primary Assembly	15	7410169	46	CM020479.1	Chromosome		NC_089154.1	assembled-molecule	16052774			Super_Scaffold_22
GCF_009819655.1	Primary Assembly	16	7182155	47	CM020480.1	Chromosome		NC_089155.1	assembled-molecule	15230834			Super_Scaffold_17
GCF_009819655.1	Primary Assembly	17	6736735	47.5	CM020481.1	Chromosome		NC_089156.1	assembled-molecule	14194216			scaffold_18_arrow_ctg1
GCF_009819655.1	Primary Assembly	18	5759794	48	CM020482.1	Chromosome		NC_089157.1	assembled-molecule	11994622			scaffold_19_arrow_ctg1
GCF_009819655.1	Primary Assembly	19	5581635	49	CM020483.1	Chromosome		NC_089158.1	assembled-molecule	11408529			scaffold_21_arrow_ctg1
GCF_009819655.1	Primary Assembly	20	5423653	48	CM020484.1	Chromosome		NC_089159.1	assembled-molecule	11247436			scaffold_20_arrow_ctg1
GCF_009819655.1	Primary Assembly	21	4546868	45.5	CM020485.1	Chromosome		NC_089160.1	assembled-molecule	10058197			scaffold_23_arrow_ctg1
GCF_009819655.1	Primary Assembly	22	3672023	48.5	CM020486.1	Chromosome		NC_089161.1	assembled-molecule	7560935			scaffold_26_arrow_ctg1
GCF_009819655.1	Primary Assembly	23	3728486	50.5	CM020487.1	Chromosome		NC_089162.1	assembled-molecule	7468107			scaffold_25_arrow_ctg1
GCF_009819655.1	Primary Assembly	24	3549792	52	CM020488.1	Chromosome		NC_089163.1	assembled-molecule	6883216			scaffold_27_arrow_ctg1
GCF_009819655.1	Primary Assembly	25	3543869	52.5	CM020489.1	Chromosome		NC_089164.1	assembled-molecule	6775589			Super_Scaffold_34
GCF_009819655.1	Primary Assembly	26	2661697	53	CM020490.1	Chromosome		NC_089165.1	assembled-molecule	5062550			Super_Scaffold_35
GCF_009819655.1	Primary Assembly	27	2593428	52	CM020491.1	Chromosome		NC_089166.1	assembled-molecule	5004062			Super_Scaffold_31
GCF_009819655.1	Primary Assembly	28	2398632	51.5	CM020492.1	Chromosome		NC_089167.1	assembled-molecule	4652909			Super_Scaffold_36
GCF_009819655.1	Primary Assembly	29	1256223	57	CM020493.1	Chromosome		NC_089168.1	assembled-molecule	2201499			Super_Scaffold_41
GCF_009819655.1	Primary Assembly	30	1138216	56.5	CM020494.1	Chromosome		NC_089169.1	assembled-molecule	2016562			scaffold_40_arrow_ctg1
GCF_009819655.1	Primary Assembly	31	295078	52.5	CM020495.1	Chromosome		NC_089170.1	assembled-molecule	559822			scaffold_55_arrow_ctg1
GCF_009819655.1	Primary Assembly	32	218664	50	CM020496.1	Chromosome		NC_089171.1	assembled-molecule	436182			scaffold_56_arrow_ctg1
GCF_009819655.1	Primary Assembly	33	146164	49.5	CM020497.1	Chromosome		NC_089172.1	assembled-molecule	294449			scaffold_62_arrow_ctg1
GCF_009819655.1	Primary Assembly	W	8489331	44.5	CM020499.1	Chromosome		NC_089173.1	assembled-molecule	21688951		1	Super_Scaffold_16
GCF_009819655.1	Primary Assembly	Z	33922007	40	CM020498.1	Chromosome		NC_089174.1	assembled-molecule	88576696			Super_Scaffold_3
GCF_009819655.1	Primary Assembly	W			WNMY01000154.1	Chromosome		NW_027077027.1	unlocalized-scaffold	305310		1	scaffold_60_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000001.1	Chromosome		NW_027077028.1	unplaced-scaffold	72602			scaffold_100_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000002.1	Chromosome		NW_027077029.1	unplaced-scaffold	72056			scaffold_101_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000003.1	Chromosome		NW_027077030.1	unplaced-scaffold	72264			scaffold_102_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000004.1	Chromosome		NW_027077031.1	unplaced-scaffold	72147			scaffold_103_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000005.1	Chromosome		NW_027077032.1	unplaced-scaffold	70288			scaffold_104_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000006.1	Chromosome		NW_027077033.1	unplaced-scaffold	71292			scaffold_105_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000007.1	Chromosome		NW_027077034.1	unplaced-scaffold	68040			scaffold_106_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000008.1	Chromosome		NW_027077035.1	unplaced-scaffold	67593			scaffold_107_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000009.1	Chromosome		NW_027077036.1	unplaced-scaffold	67405			scaffold_108_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000010.1	Chromosome		NW_027077037.1	unplaced-scaffold	66284			scaffold_109_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000012.1	Chromosome		NW_027077038.1	unplaced-scaffold	64866			scaffold_110_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000013.1	Chromosome		NW_027077039.1	unplaced-scaffold	65058			scaffold_111_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000014.1	Chromosome		NW_027077040.1	unplaced-scaffold	64465			scaffold_112_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000015.1	Chromosome		NW_027077041.1	unplaced-scaffold	61988			scaffold_113_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000016.1	Chromosome		NW_027077042.1	unplaced-scaffold	58254			scaffold_114_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000017.1	Chromosome		NW_027077043.1	unplaced-scaffold	57813			scaffold_115_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000018.1	Chromosome		NW_027077044.1	unplaced-scaffold	57342			scaffold_116_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000019.1	Chromosome		NW_027077045.1	unplaced-scaffold	56601			scaffold_117_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000020.1	Chromosome		NW_027077046.1	unplaced-scaffold	56914			scaffold_118_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000021.1	Chromosome		NW_027077047.1	unplaced-scaffold	56072			scaffold_119_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000022.1	Chromosome		NW_027077048.1	unplaced-scaffold	56998			scaffold_120_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000023.1	Chromosome		NW_027077049.1	unplaced-scaffold	55016			scaffold_121_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000024.1	Chromosome		NW_027077050.1	unplaced-scaffold	53672			scaffold_122_arrow_ctg1
