# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	12841	20557	-				uncharacterized LOC136375641	LOC136375641	136375641		7717		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	12841	20557	-	XR_010746095.1			uncharacterized lncRNA, transcript variant X2	LOC136375641	136375641		2976	2976	
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	14799	20557	-	XR_010746093.1			uncharacterized lncRNA, transcript variant X1	LOC136375641	136375641		2421	2421	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	25612	99186	-				SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	SMARCD3	136375648		73575		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	25612	99186	-	XM_066341300.1		XP_066197397.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3, transcript variant X3	SMARCD3	136375648		3759	3759	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	25612	77302	-	XM_066341293.1		XP_066197390.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3, transcript variant X2	SMARCD3	136375648		2945	2945	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	25612	75246	-	XM_066341285.1		XP_066197382.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3, transcript variant X1	SMARCD3	136375648		3191	3191	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	27102	77287	-	XP_066197390.1		XM_066341293.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 isoform X2	SMARCD3	136375648		1440	479	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	27102	75003	-	XP_066197382.1		XM_066341285.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 isoform X1	SMARCD3	136375648		1458	485	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	27102	64579	-	XP_066197397.1		XM_066341300.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 isoform X3	SMARCD3	136375648		1371	456	
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101144	103863	-				uncharacterized LOC136375677	LOC136375677	136375677		2720		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101144	103863	-	XR_010746102.1			uncharacterized lncRNA	LOC136375677	136375677		2605	2605	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	106819	112088	-				chondroitin polymerizing factor 2	CHPF2	136375666		5270		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	106819	112088	-	XM_066341312.1		XP_066197409.1	chondroitin polymerizing factor 2, transcript variant X1	CHPF2	136375666		2754	2754	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	106819	111685	-	XM_066341321.1		XP_066197418.1	chondroitin polymerizing factor 2, transcript variant X2	CHPF2	136375666		2385	2385	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	107037	111835	-	XP_066197409.1		XM_066341312.1	chondroitin sulfate glucuronyltransferase isoform X1	CHPF2	136375666		2283	760	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	107037	109784	-	XP_066197418.1		XM_066341321.1	chondroitin sulfate glucuronyltransferase isoform X2	CHPF2	136375666		2028	675	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	112200	122771	+				ATP binding cassette subfamily F member 2	ABCF2	136357555		10572		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	112200	122771	+	XM_066312944.1		XP_066169041.1	ATP binding cassette subfamily F member 2, transcript variant X2	ABCF2	136357555		2464	2464	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	112348	122771	+	XM_066312936.1		XP_066169033.1	ATP binding cassette subfamily F member 2, transcript variant X1	ABCF2	136357555		2554	2554	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	112589	122330	+	XP_066169033.1		XM_066312936.1	ATP-binding cassette sub-family F member 2	ABCF2	136357555		1872	623	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	112589	122330	+	XP_066169041.1		XM_066312944.1	ATP-binding cassette sub-family F member 2	ABCF2	136357555		1872	623	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	126173	127619	+				H2B.K variant histone 1	H2BK1	136361934		1447		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	126173	127619	+	XM_066320248.1		XP_066176345.1	H2B.K variant histone 1	H2BK1	136361934		763	763	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	126560	127600	+	XP_066176345.1		XM_066320248.1	histone H2B type 2-K1	H2BK1	136361934		357	118	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	135233	143451	+				ankyrin repeat and SOCS box containing 10	ASB10	136357608		8219		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	135233	143451	+	XM_066313035.1		XP_066169132.1	ankyrin repeat and SOCS box containing 10	ASB10	136357608		1715	1715	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	135370	143238	+	XP_066169132.1		XM_066313035.1	ankyrin repeat and SOCS box protein 10	ASB10	136357608		1365	454	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	155022	161918	+				gastrulation brain homeobox 1	GBX1	136357613		6897		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	155022	161918	+	XM_066313044.1		XP_066169141.1	gastrulation brain homeobox 1	GBX1	136357613		1327	1331	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	155022	161892	+	XP_066169141.1		XM_066313044.1	LOW QUALITY PROTEIN: homeobox protein GBX-1	GBX1	136357613		1301	434	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	169131	278467	-				ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	AGAP3	136357576		109337		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	169131	278466	-	XM_066312978.1		XP_066169075.1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3, transcript variant X2	AGAP3	136357576		3871	3871	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	169131	248200	-	XM_066312968.1		XP_066169065.1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3, transcript variant X1	AGAP3	136357576		4312	4312	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	170191	278376	-	XP_066169075.1		XM_066312978.1	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X2	AGAP3	136357576		2721	906	
