Chromosome	GC_Content	Genes/Mb	Tajima_D	SNP_Density	Window_Pi	cM/Mb
chr1	0.392026	11.0063	-1.22693	52.7326	0.00504657	0.133001
chr2	0.395519	12.2712	-1.19083	55.0293	0.00539694	0.151465
chr3	0.398814	13.2562	-1.21962	53.0504	0.00505347	0.132329
chr4	0.39468	13.4057	-1.0386	58.2552	0.00613173	0.176666
chr5	0.403604	15.5525	-1.08594	56.4039	0.00581892	0.184152
chr6	0.410895	18.3237	-1.10066	55.0354	0.00566767	0.205451
chr7	0.415087	15.9281	-1.1474	54.7267	0.00546223	0.254067
chr8	0.423953	17.5278	-1.13596	56.6891	0.00568562	0.255729
chr9	0.427525	20.4357	-1.11522	54.1897	0.00549957	0.256483
chr10	0.425064	19.0993	-1.13867	53.1731	0.00548477	0.334598
chr11	0.427315	18.7421	-0.977229	54.6924	0.00604389	0.322792
chr12	0.422974	19.8661	-0.913408	50.915	0.00560522	0.276079
chr13	0.440014	21.7308	-1.14827	52.9053	0.00530613	0.32381
chr14	0.45938	21.2564	-1.01249	57.3052	0.00605482	0.372487
chr15	0.461565	29.8504	-0.973015	59.3889	0.00647601	0.398716
chr16	0.471693	26.7848	-1.01224	57.2724	0.00614147	0.422492
chr17	0.474611	28.6704	-0.990799	57.1325	0.00613111	0.415398
chr18	0.480184	29.6759	-0.889317	63.1249	0.00709099	0.483161
chr19	0.489086	28.1897	-0.955174	58.275	0.00624788	0.480036
chr20	0.481927	32.8829	-1.012	56.3063	0.00605165	0.502124
chr21	0.452114	24.7915	-0.90434	60.4145	0.00680039	0.553897
chr22	0.485702	33.545	-0.984751	56.8038	0.00617642	0.616974
chr23	0.499134	30.353	-1.03897	60.4349	0.00645458	0.74155
chr24	0.515684	36.0876	-1.00193	61.3774	0.00665604	0.713175
chr25	0.523044	43.505	-1.02238	59.2732	0.00632982	0.806156
chr26	0.525091	53.2288	-1.16274	53.9661	0.00535813	0.704037
chr27	0.519718	61.1994	-1.10953	54.7559	0.00564488	0.63222
chr28	0.515307	43.6125	-0.940143	63.2349	0.00690113	0.995545
chr29	0.561012	65.4167	-1.2606	53.1565	0.00492459	1.17096
chr30	0.562097	73.1818	-1.03669	51.8019	0.00543348	0.764295
chr31	0.530578	59.5996	-1.56405	41.065	0.00329441	0.538035
chr32	0.493978	52.546	-1.91444	19.052	0.00107062	0.273691
chr33	0.495674	136.175	-0.889141	79.6533	0.00884463	1.30762
